Títulos,Nota,Sinopses,Temporada,Episódio,Franquia
Viva Drag Vegas,8.4,"The queens must perform a medley of songs from RuPaul's Drag Race Live!, a hit show on the Las Vegas strip. Choreographer Jamal Sims (Disney's Aladdin) guest judges.",12,12,Drag Race
Reunited: Alone Together,7.4,"The Season 12 queens come together in a virtual slumber party. Ru checks in with all the girls during quarantine and chats about the shadiest moments and most shocking eliminations, and takes fan questions.",12,13,Drag Race
Grand Finale,7.1,"The Top 3 face off in a sudden-death lip sync smackdown for $100,000 grand prize and the title of America's Next Drag Superstar.",12,14,Drag Race
Meet the Queens,7.1,"Are you ready to meet all of the new Queens competing for the crown on RuPaul's Drag Race, Season 13? Start your engines.",13,0,Drag Race
The Pork Chop,6.4,"13 new queens compete for the title of ""America's Next Drag Superstar"".",13,1,Drag Race
Condragulations,7.2,"After the first contestant of the season is voted out, the queens stomp the runway in a fashion show, then perform a special version of RuPaul's song ""Condragulations.""",13,2,Drag Race
Phenomenon,8.4,"As the race for the crown continues, queens must write lyrics and perform choreography in a performance of RuPaul's song ""Phenomenon.""",13,3,Drag Race
RuPaulmark Channel,7.5,The queens are challenged to overact in cheesy RuPaulmark holiday movies.,13,4,Drag Race
The Bag Ball,7.4,"Tensions rise as queens put their design skills to the test in a pageant of bag-inspired couture, and showcase three bag-themed looks.",13,5,Drag Race
Disco-Mentary,5.7,"The queens funk it up in a disco-dancing documentary, complete with 70s fashions.",13,6,Drag Race
Bossy Rossy Ruboot,6.5,"The queens flex their improv skills in a reboot of the salacious talk show ""Bossy Rossy,"" hosted by Ross Mathews.",13,7,Drag Race
Social Media: The Unverified Rusical,5.9,It's time for the Rusical. Queens must record lyrics and learn choreography as they perform in a tale on social media.,13,8,Drag Race
Corona Can't Keep a Good Queen Down,6.1,"In the face of a global pandemic that shutdown film and TV production around the world, the resilience of the season 13 queens made herstory as this Emmy-Award winning series was one of the very first productions to be shot in the age of COVID-19.",13,9,Drag Race
Snatch Game,7.6,The queens impersonate celebrities in the legendary Snatch Game. LGBT activist TS Madison guest judges.,13,10,Drag Race
Freaky Friday Queens,6.5,It's Freaky Friday. The queens are challenged to make over each other into their own drag doppelgangers.,13,11,Drag Race
Pop! Goes the Queens,7.0,The queens must create and brand their own versions of extravagant soft drinks. Current reigning America's Next Drag Superstar Jaida Essence Hall makes a virtual appearance in the workroom.,13,12,Drag Race
Nice Girls Roast,7.5,"The queens take part in a comedy roast of former Drag Race ""Miss Congeniality"" winners - Heidi N Closet, Nina West and Valentina. Comedian and host Loni Love (Soul Plane) guest judges; Norvina (Instant Influencer) makes a guest appearance.",13,13,Drag Race
"Henny, I Shrunk The Drag Queens!",6.1,"The queens flex their acting skills in a new sci-fi adventure, playing tiny shrunken drag queens. Cynthia Erivo 'Genius: Aretha' guest judges; Scarlett Johansson 'Black Widow' makes a virtual appearance in the workroom.",13,14,Drag Race
Gettin' Lucky,6.7,"The queens write and record lyrics as they perform to the world premiere of RuPaul's new song ""Lucky"". Choreographer Jamal Sims (Disney's Aladdin) makes a guest appearance.",13,15,Drag Race
RPDR Reunited,4.1,"The season 13 queens are back to dish on all the moments that made this season unforgettable. This gag-worthy reunion will feature up close and personal interviews, original music videos, and a special lip sync.",13,16,Drag Race
Grand Finale,5.5,"The final 4 must face off in a lip sync smackdown for $100,000 and the title of America's Next Drag Superstar.",13,17,Drag Race
Season 14 Queen Ruveal,7.9,"Meet all of the new queens competing for the crown on RuPaul's Drag Race Season 14 with reigning champion, Symone.",14,0,Drag Race
Big Opening No. 1,8.3,"Lizzo guest judges part one of the Season 14 premiere, and a new set of queens stars in a dizzying photo shoot, performs in a talent show and walks the runway in Signature Showstopping Drag.",14,1,Drag Race
Big Opening No. 2,8.0,The remaining queens of the brand new cast bring their gifts to a talent show. Singer/songwriter Alicia Keys guest judges.,14,2,Drag Race
A Pair of Balls,8.0,"The queens put their design skills to the test in a Double Ball challenge, stomping the runway in 42 fashion looks. Christine Chiu guest judges.",14,3,Drag Race
She's a Super Tease,8.1,"In their first acting challenge, the queens must create iconic moments for a Drag Race Supertease extended trailer. Comedian and host Loni Love (Soul Plane) guest judges.",14,4,Drag Race
Save a Queen,8.5,"The queens must make parody PSAs for a new charity supporting first-eliminated Drag Race queens; with queens Tempest DuJour, Jaymes Mansfield and Kahmora Hall; pop star Ava Max guest judges.",14,5,Drag Race
Glamazon Prime,6.8,"Michelle Visage's online shopping has gotten out of hand; in this design challenge, the queens are tasked with making outfits from all the junk she has ordered; Taraji P. Henson (Empire) guest judges.",14,6,Drag Race
The Daytona Wind,9.4,The queens don shoulder pads and flex their acting muscles in a campy '80s soap opera; LGBT activist TS Madison guest Judges.,14,7,Drag Race
60s Girl Groups,8.2,"The queens read each other for filth, write and perform 60s girl group-inspired songs and pour their hearts into their runway lewks, and comedian Alec Mapa sits in with the judges.",14,8,Drag Race
Menzeses,8.6,"The queens must lead Drag Con panel discussions about the multi-faceted world of menz: dating, fatherhood, and toxic masculinity; comedian Nicole Byer guest judges.",14,9,Drag Race
Drag on a Dime,0,"Know what this is about?
 Be the first one to add a plot.",1,1,Drag Race Untucked
Girl Group Challenge,0,"Know what this is about?
 Be the first one to add a plot.",1,2,Drag Race Untucked
Queens of all Media,0,"Know what this is about?
 Be the first one to add a plot.",1,3,Drag Race Untucked
M.A.C/Viva Glam Challenge,0,"Know what this is about?
 Be the first one to add a plot.",1,4,Drag Race Untucked
Drag School of Charm,0,"Know what this is about?
 Be the first one to add a plot.",1,5,Drag Race Untucked
Absolut Drag Ball,0,"Know what this is about?
 Be the first one to add a plot.",1,6,Drag Race Untucked
Extra Special Edition,0,"Know what this is about?
 Be the first one to add a plot.",1,7,Drag Race Untucked
Grand Finale,0,"Know what this is about?
 Be the first one to add a plot.",1,8,Drag Race Untucked
Re-United!,0,"Know what this is about?
 Be the first one to add a plot.",1,9,Drag Race Untucked
Gone with the Window,8.1,"RuPaul narrates the behind-the-scenes of the contest to become America's Next Drag Superstar. Backstage, the queens dish on whose curtains outfit is worst. Things get intense when two queens have an explosive fight.",2,1,Drag Race Untucked
Starrbootylicious,7.8,The drag queens argue over their poor teamwork in the burlesque challenge. Things get a little sticky when a queen overhears the other girls talking behind her back.,2,2,Drag Race Untucked
Country Queens,7.9,A drag queen gets torn apart backstage for not having the right country look. Things get personal when a queen is forced to defend herself.,2,3,Drag Race Untucked
The Snatch Game,7.9,The drag queens get catty over each other's celebrity impersonations. A doll lashes out when confronted.,2,4,Drag Race Untucked
Here Comes the Bride,8.4,"While the judges deliberate, tempers flare as the drag queens engage in a fierce argument over their wedding day challenge.",2,5,Drag Race Untucked
Rocker Chicks,7.9,"While the judges deliberate, tempers flare as the drag queens engage in a fierce argument over their wedding day challenge.",2,6,Drag Race Untucked
Once Upon a Queen,7.8,The drag queens get critical over each other's book launch party outfits. Jealousies emerge over who gets the most praise from the judges.,2,7,Drag Race Untucked
Golden Gals,8.1,The queens dish the dirt on the drag mothers they transformed in this week's challenge. A queen reveals a little too much about the mother she was assigned.,2,8,Drag Race Untucked
The Diva Awards,7.9,The final four queens air out their disagreements backstage. A queen finally confronts another queen over a long-running feud.,2,9,Drag Race Untucked
Music Video Finale,7.5,The last 3 queens wait nervously to find out who has won the title of America's Next Drag Superstar. The queens get catty one last time as they review all the girls eliminated before them.,2,10,Drag Race Untucked
The Queen Who Mopped Christmas,8.1,"Backstage after The Queen who Mopped Christmas challenge, the queens dish on whose outfit is worst. Things get intense when a drag queen tells her fellow contestant she is not competition.",3,1,Drag Race Untucked
Queens in Space,8.8,Behind-the-scenes drama and exclusive unseen footage from Queens in Space. The drag queens argue over whose futuristic runway outfit looked sloppy. Things escalate out of control when two queens get into a screaming row.,3,2,Drag Race Untucked
Totally Leotarded!,7.9,Behind-the-scenes drama and exclusive unseen footage from Totally Leotarded!. A drag queen gets torn apart backstage for being a know-it-all during the exercise video challenge. Things get personal when the queens discuss their love lives.,3,3,Drag Race Untucked
QNN News,8.0,Behind-the-scenes drama and exclusive unseen footage from QNN. The drag queens do impressions of each other's newscast performances. Backstage chat turns into a heated fight as the queens debate one of the more controversial performances.,3,4,Drag Race Untucked
The Snatch Game,8.1,"The drag queens get catty over each other's celebrity impersonations. Things get tense when a group of queens hatch a plan to spy on the other girls, and overhear them talking smack.",3,5,Drag Race Untucked
"Face, Face, Face of Cakes",8.4,"While the judges deliberate, tempers flare as the drag queens engage in a fierce argument over their cake dress challenge. A friendship is tested when a queen is accused of not standing up for her friend.",3,6,Drag Race Untucked
Ru Ha Ha,7.8,"A queen is bitterly disappointed with her comedy performance, and backstage drama reaches an all time high when a queen refuses to lip sync.",3,7,Drag Race Untucked
"Life, Liberty & the Pursuit of Style",7.6,The queens' Public Service Announcements spark disagreement over who did well. Two queens separate from the group and badmouth the other girls' performances.,3,8,Drag Race Untucked
RuPaul-a-Palooza,7.6,"The queens angrily confront each other backstage, after RuPaul asks them to nominate a fellow queen to leave the competition. A queen tells another queen to her face that she is not pretty.",3,9,Drag Race Untucked
RuPaul's Hair Extravaganza,8.3,"Behind-the-scenes drama and exclusive unseen footage from RuPaul's Hair Extravaganza. Backstage, the drag queens get critical over each other's Hair Extravaganza looks.",3,10,Drag Race Untucked
Jocks in Frocks,8.6,Behind-the-scenes drama and exclusive unseen footage from Jocks in Frocks. The queens dish the dirt on the jocks they transformed in this week's challenge. A jock reveals he may have a crush on the drag queen assigned to him.,3,11,Drag Race Untucked
Make Dat Money,7.7,Behind-the-scenes drama and exclusive unseen footage from Make Dat Money. The final four queens air out their disagreements backstage.,3,12,Drag Race Untucked
Grand Finale,7.6,"The final 3 queens wait nervously to find out who has won the title of America's Next Drag Superstar, and a cash prize of $75,000. The queens get catty one last time as they review all the girls eliminated before them.",3,13,Drag Race Untucked
RuPocalypse Now!,8.4,"After surviving a drag apocalypse, the real fight begins backstage when a queen insults another girl's makeup.",4,1,Drag Race Untucked
WTF!: Wrestling's Trashiest Fighters,7.8,One of the queens shares her plastic surgery horror story and another gets a sweet surprise from home.,4,2,Drag Race Untucked
Glamazons vs. Champions,8.7,Tears flow backstage when a queen receives an emotional surprise. But that doesn't stop the dolls from sharing their true feelings about the day's challenge.,4,3,Drag Race Untucked
Queens Behind Bars,8.2,Workroom feuds reach boiling point when a queen overhears an insult.,4,4,Drag Race Untucked
Snatch Game,8.8,"Backstage, mascara runs as a beloved queen faces elimination.",4,5,Drag Race Untucked
Float Your Boat,8.2,Kelly Obourne drops by the Interior Illusions Lounge to gossip with the drag queens.,4,6,Drag Race Untucked
Dragazines,8.1,Drama reaches an all time high backstage as a queen has a screaming outburst while facing the chopping block.,4,7,Drag Race Untucked
Frenemies,9.0,Pamela Anderson drops by the Interior Illusions Lounge to gossip with the drag queens.,4,8,Drag Race Untucked
Frock the Vote!,7.8,"Backstage, a queen bursts into tears fearing she did not do well in the 2012 Wig Party debate challenge.",4,9,Drag Race Untucked
DILFs: Dads I'd Like to Frock,7.8,The queens dish on how their dads were to work with. The dads tell the queens what they learned from this experience.,4,10,Drag Race Untucked
The Fabulous Bitch Ball,8.3,One of the queens defends herself against what one of the other queens said about her on stage with special guest Dita Von Teese.,4,11,Drag Race Untucked
The Final Three,7.0,"Know what this is about?
 Be the first one to add a plot.",4,12,Drag Race Untucked
RuPaullywood or Bust,7.9,"A backstage look at elimination day on RuPaul e a Corrida das Loucas (2009). The fourteen contestants guess who won the main challenge and who will ""lip sync for their life."" They also discuss runway looks, the judges' critiques, personalities, and ""read"" each other. One queen opens up about her insecurities while another is scrutinized for taking too much inspiration from the other contestants for her constructed runway look.",5,1,Drag Race Untucked
Lip Synch Extravaganza Eleganza,8.4,"A backstage look at elimination day on RuPaul e a Corrida das Loucas (2009). The team (of four queens) who won the main challenge play a game where one holds a picture of another contestant while the other three ask ""yes or no"" questions to try to figure out who it is. The ""bottom"" nine contestants perform two team lip syncs for the judges on the main stage. One queen talks more about revealing that they ""are a transgendered woman"" and receives a special video message from their mother. Another contestant is ""read to filth"" and attempts to defend herself.",5,2,Drag Race Untucked
Draggle Rock,7.5,"A backstage look at elimination day on RuPaul e a Corrida das Loucas (2009). The five ""safe"" contestants compare the two team's ""kid shows"" and discuss runway looks plus who may have won the main challenge and who may be ""in the bottom."" One queen receives a special video message from their boyfriend. Another contestant feels insecure while two others dote upon each other. Also, the rivalry of the season between two pageant queens (who've known each other for many years) continues.",5,3,Drag Race Untucked
Black Swan: Why It Gotta Be Black?,7.1,"A backstage look at elimination day on RuPaul e a Corrida das Loucas (2009). The five ""safe"" queens critique runway looks and discuss who they think is the winner of the main challenge and which are ""in the bottom."" One of them receives a special video message from their boyfriend. The six ""top"" and ""bottom"" contestants finally arrive backstage and talk about who they said should go home (when asked on the runway). All examine one specific queen who they think should have been in the bottom but was not.",5,4,Drag Race Untucked
Snatch Game,8.5,"A backstage look at elimination day on RuPaul e a Corrida das Loucas (2009). The three ""safe"" queens discuss who they think is ""in the bottom"" then argue with each other over their looks and talent. When the six ""top"" and ""bottom"" contestants arrive backstage, they debate who will be ""lip synching for their life"" and confront one about whether or not they want to be in the competition. Meanwhile, the ""safe"" queens play a game where they imitate the other contenders.",5,5,Drag Race Untucked
Can I Get an Amen?,8.0,"A backstage look at elimination day on RuPaul e a Corrida das Loucas (2009). All eight contestants go backstage and immediately discuss who will be ""in the bottom."" One queen is laughed at for allegedly looking fat which reminds her that she grew up with a verbally abusive father. Another contestant is distraught over her runway critiques. One of them receives a special video message from their father which sparks emotions from all. A queen's behavior is deemed unprofessional.",5,6,Drag Race Untucked
RuPaul Roast,8.0,"A backstage look at elimination day on RuPaul e a Corrida das Loucas (2009). All seven contestants go backstage and one of them immediately stirs up the season long ""pageant feud."" Several contestants voice opinions that the tension is starting to effect them all and ask that the book be closed on that subject. The topic changes to who may be ""in the bottom."" Everyone's baby pictures are shown which brings up sad family memories.",5,7,Drag Race Untucked
Scent of a Drag Queen,7.6,The judges upset one of the queens and she takes her anger out on one of the other girls.,5,8,Drag Race Untucked
Drama Queens,8.3,A former drag racer schools the ladies in the art of drag queen behavior.,5,9,Drag Race Untucked
Super Troopers,8.2,The lounge gets shadier than ever when four special guests join the queens backstage.,5,10,Drag Race Untucked
Sugar Ball,8.2,The queens feel one particular girl should shantay away but she fires back big time.,5,11,Drag Race Untucked
RuPaul's Big Opening: Part 1,7.7,"In the season premiere, the queens already notice someone's behavior may rub everyone the wrong way.",6,1,Drag Race Untucked
RuPaul's Big Opening: Part 2,7.7,One of the queens makes a shocking statement to the girls about why she has entered the competition.,6,2,Drag Race Untucked
Scream Queens,7.3,One of the queens deals with being singled out as the girl most in need of being sent home from the competition. Plus the queens must open four pink boxes containing scary surprises.,6,3,Drag Race Untucked
Shade: The Rusical,8.2,A video message causes unexpected drama in the lounge,6,4,Drag Race Untucked
Snatch Game,8.1,One of the queens reveals a personal secret that may explain her attitude in the competition.,6,5,Drag Race Untucked
Oh No She Betta Don't,7.9,A former queen leaves behind an outrageous surprise.,6,6,Drag Race Untucked
Glamazon by Colorevolution,8.1,"A queen sheds tears while discussing a judge's accusation of her ""hiding behind a costume."" Another contestant's feelings are hurt when her runway look is harshly critiqued. Everyone gets schooled by ""Alyssa's Secret.""",6,7,Drag Race Untucked
Drag Queens of Comedy,8.9,It's chaos in the lounge when one of the queens is devastated and threatens to leave the competition.,6,8,Drag Race Untucked
Queens of Talk,7.3,"As the competition intensifies, one of the queens begins to show her shady side to the others.",6,9,Drag Race Untucked
Drag My Wedding,8.1,The makeovers have an effect on the brides who start reading their competition.,6,10,Drag Race Untucked
Glitter Ball,8.2,"There is fallout in the lounge after one queen accuses another of ""sailing"" through the race.",6,11,Drag Race Untucked
Sissy That Walk,7.6,"Following their final challenge, the queens head to the Untucked lounge one last time.",6,12,Drag Race Untucked
Born Naked,7.6,"RuPaul's Drag Race season seven is already off to a shady start. The Queens talk about being on the main stage for the first time, being judged by the Judges, who was safe, in the bottom two, and more. Tension rises when the queens talk about who was the weakest link.",7,1,Drag Race Untucked
Glamazonian Airways,7.7,"After flying the friendly skies during the Glamazonian Airlines challenge, the queens untuck backstage and it looks like some baggage may have shifted during flight. The queens call attention to Trixie Mattel and Miss Fame's blossoming friendship, Trixie doesn't think Jasmine gets her look, and there's a warm moment between Ginger Minj and Pearl.",7,2,Drag Race Untucked
ShakesQueer,7.6,"After the queens Hamlet it up in two twisted Shakespeare classics, they untuck backstage and things get a little hairy. The queens talk about the trouble with stubble, ask Jasmine why she packed her bags early and Violet gives Kennedy a lesson on teamwork. Watch as Miss Kennedy reacts, plus much more.",7,3,Drag Race Untucked
Spoof! (There It Is),7.5,"After the queens make parody music videos from RuPaul's songs in the #PunnyorDie challenge, they untuck backstage and discuss which queens were the best and worst from each team, confront Violet Chachki for being mean, and Pearl feels down.",7,4,Drag Race Untucked
The DESPY Awards,7.7,"After the DESPY Awards, the queens untuck in the lounge and discuss how Pearl felt after RuPaul told her she didn't have a big personality, which queen was the weakest link during the challenge, the judges critiques, and one of the queens get a phone call from home.",7,5,Drag Race Untucked
Ru Hollywood Stories,7.5,"The queens discuss their looks from the Death Becomes Her runway, one queen gets a heartwarming video from home, and another queen deals with her emotions. Plus a touching moment in the workroom with the eliminated queen and Ariana Grande.",7,6,Drag Race Untucked
Snatch Game,7.7,"On this episode of Untucked: RuPaul's Drag Race, the queens kiki backstage and discuss what the judges thought of their Snatch Game characters and Leather and Lace runway looks. Pearl and Violet discuss tucking...a lot, and Katya and Ginger give us daytime realness OUTSIDE.",7,7,Drag Race Untucked
Conjoined Queens,7.2,"On this episode of Untucked: RuPaul's Drag Race, all 14 queens are together again and kiki backstage before finding out which queen will be back in the competition, and which queen will be going home for good.",7,8,Drag Race Untucked
Divine Inspiration,7.7,"On this episode of Untucked, Pearl asks Miss Fame why she called her out on the main stage, Katya makes the girls giggle and the competition becomes tangible.",7,9,Drag Race Untucked
Prancing Queens,7.5,"On this episode of Untucked, the girls all feel like they will be lip-syncing, and Kennedy receives a special message from home.",7,10,Drag Race Untucked
"Hello, Kitty Girls!",7.5,"On this episode of Untucked, Katya and Kennedy have a heart to heart and the girls discuss their biggest challenge this season.",7,11,Drag Race Untucked
And the Rest Is a Drag,7.8,"On this season's final episode of Untucked, the girls question their friendships as they react to the answers from the main stage.",7,12,Drag Race Untucked
Keeping It 100,6.9,The 100th queen competes to become America's Drag Superstar; the queens create outfits from a legendary design challenge that appeared in a past season; guest judge Nicole Richie.,8,1,Drag Race Untucked
Bitch Perfect,7.2,"The queens perform in a collegiate a cappella sing-off; guest judges Ester Dean of ""Pitch Perfect,"" choreographer Jamal Sims and RuPaul's music producer Lucian Piane.",8,2,Drag Race Untucked
RuCo's Empire,7.6,The queens get their Cookie on in two Empire-inspired scenes; guest judges Tasha Smith and singer-songwriter Faith Evans.,8,3,Drag Race Untucked
New Wave Queens,7.6,"The queens have to sing live in 80s style New Wave girl bands. Blondie's Debbie Harry and Chris Stein guest judge, plus RuPaul's music producer Lucian Piane.",8,4,Drag Race Untucked
Supermodel Snatch Game,7.8,"The queens impersonate celebrities in a quick-witted TV game show, and dress in iconic Madonna looks for the runway. With supermodel guest judges Gigi Hadid and Chanel Iman.",8,5,Drag Race Untucked
Wizards of Drag,7.9,The queens give cast members of Little Women: LA drag makeovers in the style of The Wizard of Oz. Fashion designer Marc Jacobs and singer-songwriter Todrick Hall guest judge.,8,6,Drag Race Untucked
Shady Politics,7.3,"The queens shoot shady presidential campaign ads, throwing their wigs in the ring to become the first drag president of the USA. Vivica A. Fox (Independence Day: Resurgence) and MSNBC Live news anchor Thomas Roberts guest judge.",8,7,Drag Race Untucked
RuPaul Book Ball,7.3,"The queens compete in a pageant of book inspired couture, and perform a musical tribute to Jerri Blank from Strangers With Candy. Siblings Amy Sedaris and David Sedaris guest judge.",8,8,Drag Race Untucked
The Realness,7.1,"The queens compete in their final challenge, starring in the music video for RuPaul's hit ""The Realness""; Michelle Visage, Carson Kressley and Ross Mathews judge.",8,9,Drag Race Untucked
Oh. My. Gaga!,8.9,"The queens get to know each other and talk about their runway looks. Before heading back to the main stage, the queens get a backstage visit that leaves them gagged.",9,1,Drag Race Untucked
She Done Already Done Brought It On,7.7,"After cheering each other through possibly the most physical challenge in Drag Race herstory, the Queens untuck and discuss the judge's opinions of their looks and performances.",9,2,Drag Race Untucked
Draggily Ever After,8.8,"After a fairytale runway fit for a princess, the queens untuck backstage and ki-ki about who they'd ""kai-kai"" with. One queen who thinks her happily ever after will be in the top, is thrown when being in the bottom becomes a reality.",9,3,Drag Race Untucked
Good Morning Bitches,8.0,"After the queens get naughty on the runway, they settle in backstage. The safe Queens spill the T on their looks and talk about whose runway didn't impress. When the other queens join, things backstage start getting shady.",9,4,Drag Race Untucked
Reality Stars: The Musical,7.8,"After the queens pay tribute to America's favorite family, The Kardashians, in a musical extravaganza, they untuck backstage. One accuses the others of sabotage as the bottom queens prepare to lip-sync.",9,5,Drag Race Untucked
Snatch Game,8.0,The queens settle in after a star-studded snatch game and it gets real when two queens go at each other about who should be in the bottom two.,9,6,Drag Race Untucked
9021-HO,7.9,After the queens' successful acting debut they untuck backstage. The sisterhood builds stronger bonds after a queen gets a message from back home.,9,7,Drag Race Untucked
RuPaul Roast,8.1,The queens cool down backstage after the RuPaul Roast. They discuss which queens of comedy were on fire and which ones went down in flames.,9,8,Drag Race Untucked
Your Pilot's on Fire,8.1,"After making their own TV pilots, the queens settle in and get shady about who might get the green light and who might be canceled.",9,9,Drag Race Untucked
Makeovers: Crew Better Work,8.0,"After teaching the crew to beat their mugs and strut the runway, they untuck backstage and kiki with their new sisters.",9,10,Drag Race Untucked
Gayest Ball Ever,8.2,The queens untuck after the Gayest Ball Ever. Emotions run high as the top 5 discuss their runway looks and who might be top 4.,9,11,Drag Race Untucked
Category Is,8.3,"After the facing their final challenges, the queens unstuck backstage and kiki about how this experience has changed them and the legacy they hope to leave.",9,12,Drag Race Untucked
10s Across the Board,7.9,"The safe queens chat backstage, while the top and bottom queens receive their critiques. Later, the cast is visited by a very special guest judge.",10,1,Drag Race Untucked
PharmaRusical,7.7,"The queens must wow the judges in a lip-sync, dance number inspired by pharmaceutical TV ads. Halsey and Padma Lakshmi guest judge; Andy Cohen and Alyssa Edwards are special guests.",10,2,Drag Race Untucked
Tap That App,8.8,One queen gets called out for allegedly not bringing it to the runway.,10,3,Drag Race Untucked
The Last Ball on Earth,8.9,Two queens reach their boiling point and lash out at each other. The other queens discuss their critiques.,10,4,Drag Race Untucked
The Bossy Rossy Show,8.3,The queens discuss the struggles of dating as a drag queen; Blair shares more about her emotional revelation on the runway.,10,5,Drag Race Untucked
DragCon Panel Extravaganza,8.8,"The queens have to produce and host their very own Drag Con panels on Makeup, Hair and Body. Husband and wife duo behind the Oscar nominated film, The Big Sick, Kumail Nanjiani and Emily Gordon guest judge.",10,6,Drag Race Untucked
Snatch Game,8.6,"Things heat up in Untucked after the Queens throw each other under the bus on the main stage. Feeling betrayed by her closest friends in the competition, one Queen fights harder to hold on to her dreams.",10,7,Drag Race Untucked
The Unauthorized Rusical,7.3,Tensions rise backstage as the queens discuss their roles in the Rusical and the execution of their runway looks. Others reassess the competition as a whole.,10,8,Drag Race Untucked
Breastworld,7.3,"A queen gets a much needed message from her family, which leads to some discussion about the queen's families. Later, the competitors prepare for the possibility of lip syncing.",10,9,Drag Race Untucked
Social Media Kings Into Queens,7.8,"The queens and their partners chat backstage. One queen feels that she was unfairly partnered for the challenge. Later, the made over men watch the bottom two queens lip sync.",10,10,Drag Race Untucked
Evil Twins,7.5,"The final five queens reflect on the season, one queen feels like giving up after repeatedly getting harsh critiques from the judges, and the comments from their fellow queens on the runway begin to sink in.",10,11,Drag Race Untucked
American,7.8,The top four queens reminisce on the season in the final Untucked of the season.,10,12,Drag Race Untucked
Whatcha Unpackin?,7.8,"Behind-the-scenes drama and exclusive unseen footage from RuPaul's Drag Race Season 11, Episode 1: ""Whatcha Unpackin?"".",11,1,Drag Race Untucked
"Good God Girl, Get Out",7.8,"Drama from the workroom follows the Queens backstage and things continue to heat up. SNL alum, Bobby Moynihan, show the Queens how to work the runway.",11,2,Drag Race Untucked
Diva Worship,7.8,The Queens grow tired of hearing excuses and call out a Queen for her drama. The bottom Queens reveal shocking news from the runway that leaves everyone gagged. Heartthrobs Troye Sivan and Guillermo Diaz cheer up the Queens backstage.,11,3,Drag Race Untucked
Trump: The Rusical,7.6,"After a politically pointed Rusical, the Queens untuck and discuss whether or not this season might be RuPaul's Best Friends Race. One queen quickly destroys that idea but a backstage visit from Tiffany Pollard lightens the mood.",11,4,Drag Race Untucked
Monster Ball,7.2,"After competing in the monster-inspired ball, Nina West shares her coming out story, Shuga Cain gets a heartfelt message from her fiance, and Elvira drops in to see the girls.",11,5,Drag Race Untucked
The Draglympics,7.5,Tension mounts when one of the Queens feels like another threw her under the bus. A question rises about wigs left behind by an eliminated Queen. Mirai Nagasu and Adam Rippon kiki with the Queens and give advice on surviving a competition.,11,6,Drag Race Untucked
From Farm to Runway,9.0,"The safe Queens untuck and the kettle is set to boil when one Queen admits she won't be friends with another Queen after the competition. When all the Queens join everyone backstage, all the tea is thrown and everyone gets burned.",11,7,Drag Race Untucked
Snatch Game at Sea,7.8,"With only two safe Queens backstage, one queen is still confused about the other's backstory. Top and Bottom Queens join and its double the emotions as two poignant videos from home leave the queens beside themselves.",11,8,Drag Race Untucked
L.A.D.P.!,7.4,"The Queens discuss where they feel they are in the competition. One Queen can't do more than be ""pretty"" and another struggles with getting the same critique for a 2nd week. The Queens get real with a backstage visit from Natasha Lyonne.",11,9,Drag Race Untucked
Dragracadabra,7.5,A tense moment during critiques forces the Queens to call each other out backstage. A video message from home reveals an emotional side to a Queen who's been holding back. The eliminated Queen has a difficult but inspiring pack up.,11,10,Drag Race Untucked
Bring Back My Queens!,7.3,"After revealing who they all think should go home to mother Ru, the Queens must face each other backstage. Things get real when a Queen gets called out on her reasons for wanting another Queen to go home. A Queen holds back tears in an emotional pack up.",11,11,Drag Race Untucked
Queens Everywhere,7.4,The top five face the reality that one of them will be going home tonight. Two unlikely Queens bond over their time in the competition and open up about their insecurities. It's a bittersweet packup for the eliminated Queen as the final four head to the finale.,11,12,Drag Race Untucked
I'm That Bitch,8.0,"Miley Cyrus goes undercover in the workroom to spy on the new cast of queens competing for $100,000. The first test is to create signature looks from materials belonging to former Drag Race legends. NL",12,1,Drag Race Untucked
You Don't Know Me,7.2,"Drama from the workroom follows the Queens backstage and things continue to heat up. SNL alum, Bobby Moynihan, shows the Queens how to work the runway.",12,2,Drag Race Untucked
World's Worst,6.8,The queens finally meet. Alliances form after acting in the World's Worst challenge. One queen gets emotional about her makeup critique.,12,3,Drag Race Untucked
The Ball Ball,7.7,The queens are on the ball this week but the bottoms are not ready to bounce. One queen sees simplicity where others see a lazy attempt at style. Leslie Jones drops in for a kiki.,12,4,Drag Race Untucked
Gay's Anatomy,8.6,"This week's tops have a shady good time until the bottom queens join them and the conversation becomes heated. One of the bottoms thinks one of the tops should be going home, and she's shook about it.",12,5,Drag Race Untucked
Snatch Game,7.6,"Sparks fly in the lounge when one of the queens feels threatened. Then, one of the girls is accused of wanting to quit the race.",12,6,Drag Race Untucked
Madonna: The Unauthorized Rusical,7.6,Safe queens settle and discuss the past week's conflicts. One queen confronts another over a shady comment and it causes a commotion. U.S. Representative Alexandria Ocasio-Cortez stops by to discuss the politics of drag.,12,7,Drag Race Untucked
Droop,7.0,It's a somber beginning as the queens discuss their answers to Ru's question of who should go home this week. Chaka Khan pops in to perk the queens up and remind them that they are every woman.,12,8,Drag Race Untucked
Choices 2020,7.2,"The Queens discuss where they feel they are in the competition. One Queen can't do more than be ""pretty"" and another struggles with getting the same critique for a second week. The Queens get real with a backstage visit from Natasha Lyonne.",12,9,Drag Race Untucked
